age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,housemaid,married,basic.4y,0,0,0,telephone,261,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,services,married,high.school,0,1,0,telephone,226,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
40,admin.,married,basic.6y,0,0,0,telephone,151,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,services,married,high.school,0,0,1,telephone,307,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
59,admin.,married,professional.course,0,0,0,telephone,139,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
24,technician,single,professional.course,0,1,0,telephone,380,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
25,services,single,high.school,0,1,0,telephone,50,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
25,services,single,high.school,0,1,0,telephone,222,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
29,blue-collar,single,high.school,0,0,1,telephone,137,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,housemaid,divorced,basic.4y,0,1,0,telephone,293,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,blue-collar,married,basic.6y,0,1,0,telephone,146,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,blue-collar,married,basic.6y,0,1,0,telephone,312,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
50,blue-collar,married,basic.9y,0,1,1,telephone,353,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
30,unemployed,married,high.school,0,0,0,telephone,38,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
55,retired,single,high.school,0,1,0,telephone,342,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,technician,single,high.school,0,1,0,telephone,181,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,admin.,married,high.school,0,1,0,telephone,172,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,technician,married,university.degree,0,0,1,telephone,99,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,blue-collar,divorced,basic.4y,0,0,0,telephone,208,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,services,married,high.school,0,0,0,telephone,365,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,technician,married,basic.9y,0,1,0,telephone,1666,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,admin.,married,university.degree,0,1,0,telephone,577,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,technician,married,basic.4y,0,1,0,telephone,137,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,entrepreneur,married,high.school,0,1,0,telephone,314,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,admin.,single,professional.course,0,0,0,telephone,160,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,admin.,married,university.degree,0,0,1,telephone,212,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,admin.,married,university.degree,0,1,1,telephone,616,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
40,blue-collar,married,basic.9y,0,0,1,telephone,178,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,admin.,married,university.degree,0,1,0,telephone,355,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,blue-collar,married,basic.9y,0,1,0,telephone,225,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,admin.,married,high.school,0,0,0,telephone,160,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,housemaid,married,basic.4y,0,0,1,telephone,266,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
60,admin.,married,high.school,0,0,0,telephone,253,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
53,admin.,single,professional.course,0,0,0,telephone,179,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
25,technician,single,university.degree,0,1,0,telephone,174,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
51,blue-collar,married,basic.9y,0,1,0,telephone,812,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
48,admin.,married,high.school,0,0,0,telephone,357,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,admin.,married,university.degree,0,0,0,telephone,232,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,blue-collar,single,basic.9y,0,1,0,telephone,91,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,admin.,married,basic.9y,0,1,0,telephone,158,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,management,married,basic.6y,0,0,0,telephone,200,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,management,divorced,university.degree,0,1,0,telephone,172,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
55,technician,married,university.degree,0,0,0,telephone,349,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,technician,single,university.degree,0,0,1,telephone,20,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
31,admin.,divorced,high.school,0,0,0,telephone,246,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,management,married,basic.6y,0,0,0,telephone,529,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,admin.,married,university.degree,0,1,1,telephone,192,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,technician,married,basic.9y,0,0,0,telephone,1467,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,1
34,admin.,married,high.school,0,1,0,telephone,188,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,admin.,married,university.degree,0,1,0,telephone,180,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,unemployed,married,basic.9y,0,0,0,telephone,545,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,blue-collar,married,basic.6y,0,0,1,telephone,583,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,services,married,professional.course,0,1,0,telephone,221,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,management,married,university.degree,0,0,0,telephone,426,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,technician,single,professional.course,0,0,0,telephone,197,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,blue-collar,married,basic.6y,0,0,0,telephone,257,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,blue-collar,married,basic.4y,0,0,0,telephone,55,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,admin.,divorced,university.degree,0,0,0,telephone,197,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,admin.,divorced,university.degree,0,0,0,telephone,190,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,housemaid,married,basic.6y,0,1,0,telephone,300,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,admin.,married,high.school,0,1,0,telephone,123,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,services,divorced,high.school,0,1,0,telephone,194,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,management,married,university.degree,0,0,0,telephone,337,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,married,high.school,0,0,0,telephone,286,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,admin.,divorced,university.degree,0,0,0,telephone,247,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,blue-collar,divorced,high.school,0,0,0,telephone,439,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,services,married,high.school,0,0,0,telephone,139,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,technician,married,high.school,0,1,0,telephone,79,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,admin.,married,university.degree,0,1,1,telephone,175,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,admin.,married,university.degree,0,0,1,telephone,262,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
50,admin.,married,basic.6y,0,0,0,telephone,61,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
31,technician,divorced,professional.course,0,1,1,telephone,78,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,retired,married,basic.4y,0,1,0,telephone,102,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,blue-collar,married,basic.6y,0,1,1,telephone,143,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,blue-collar,married,basic.6y,0,1,0,telephone,345,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,management,married,university.degree,0,0,0,telephone,185,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,management,divorced,university.degree,0,0,0,telephone,207,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,services,married,high.school,0,1,0,telephone,125,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,unemployed,single,university.degree,0,1,0,telephone,240,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,management,married,university.degree,0,1,0,telephone,193,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
53,blue-collar,married,basic.4y,0,1,0,telephone,136,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,admin.,single,high.school,0,1,0,telephone,338,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
51,blue-collar,married,basic.4y,0,1,0,telephone,87,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,married,basic.9y,0,1,1,telephone,98,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,technician,single,professional.course,0,1,0,telephone,186,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
59,services,married,high.school,0,0,0,telephone,579,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
24,management,single,university.degree,0,1,0,telephone,165,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,entrepreneur,married,basic.6y,0,0,0,telephone,85,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,services,married,high.school,0,1,1,telephone,506,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,management,divorced,university.degree,0,1,0,telephone,843,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,technician,married,university.degree,0,1,1,telephone,292,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,services,married,high.school,0,0,0,telephone,93,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
46,management,married,basic.9y,0,0,0,telephone,128,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,services,married,high.school,0,1,1,telephone,107,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
51,admin.,single,basic.6y,0,0,0,telephone,303,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
28,services,married,high.school,0,1,0,telephone,81,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,blue-collar,married,basic.9y,0,0,0,telephone,270,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,technician,married,high.school,0,0,0,telephone,228,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,blue-collar,married,basic.9y,0,1,1,telephone,673,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,1
36,admin.,married,university.degree,0,1,0,telephone,233,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,management,married,university.degree,0,0,0,telephone,461,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,admin.,married,university.degree,0,1,0,telephone,138,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,technician,married,professional.course,0,0,0,telephone,412,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,blue-collar,single,basic.9y,0,1,0,telephone,179,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,management,divorced,university.degree,0,0,0,telephone,19,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,technician,married,university.degree,0,0,0,telephone,228,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
48,blue-collar,married,basic.4y,0,1,0,telephone,717,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,blue-collar,married,basic.6y,0,1,0,telephone,1077,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,services,married,high.school,0,0,0,telephone,146,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,services,single,basic.6y,0,0,0,telephone,167,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,blue-collar,married,high.school,0,1,0,telephone,356,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,blue-collar,married,basic.9y,0,1,0,telephone,172,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,unemployed,married,professional.course,0,0,0,telephone,67,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,services,single,basic.4y,0,0,0,telephone,291,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,student,single,basic.9y,0,1,0,telephone,256,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
55,housemaid,divorced,university.degree,0,0,0,telephone,286,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
59,admin.,married,university.degree,0,0,0,telephone,477,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
40,services,married,high.school,0,0,0,telephone,322,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,admin.,married,high.school,0,1,0,telephone,216,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
40,technician,married,basic.9y,0,0,0,telephone,168,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
58,retired,married,university.degree,0,0,0,telephone,132,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,technician,married,university.degree,0,0,0,telephone,64,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,admin.,single,university.degree,0,0,0,telephone,209,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,blue-collar,married,basic.4y,0,1,1,telephone,177,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,admin.,married,professional.course,0,1,0,telephone,580,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
50,services,divorced,professional.course,0,1,0,telephone,165,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,admin.,married,professional.course,0,1,0,telephone,300,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,blue-collar,married,basic.4y,0,0,0,telephone,136,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
48,admin.,married,high.school,0,0,0,telephone,125,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,retired,married,high.school,0,0,0,telephone,238,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,technician,single,professional.course,0,0,0,telephone,124,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,management,married,university.degree,0,1,0,telephone,18,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,services,single,basic.9y,0,0,0,telephone,730,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,technician,single,professional.course,0,0,0,telephone,79,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,technician,single,high.school,0,1,0,telephone,142,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,single,high.school,0,0,1,telephone,389,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,services,single,high.school,0,0,0,telephone,702,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
40,technician,divorced,professional.course,0,0,0,telephone,151,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,blue-collar,married,basic.4y,0,1,0,telephone,211,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
51,services,married,basic.6y,0,1,0,telephone,117,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
